key,spec_hash,status,reviewer,date,notes
learning.char.a,17fed234a1b806a5ea8739238e21af6058c70a23de7b2d1a7bb7572b542de8b0,approved,,2026-08-18,
learning.char.b,14d245162ab8efa87f9a16bc5b0971f6b225528298cb9362026fcce744d07b20,approved,,2026-08-18,
learning.char.c,3152c980c48ee34ce1964b830c05bf457ff0114b6668223beeca458f71d2eccf,approved,,2026-08-18,
learning.char.c01,13f5e8b4373864b2609dd26c84e5ee0f039cd92e51d70675ec1aaad1564f4525,approved,,2026-08-18,
learning.char.c02,c6def66653fcef8496d2328cf71e357f6390d11a7f8eecc694fd162a408b3960,approved,,2026-08-18,
learning.char.c06,99ae8565902997e32c0bef70ae41835d42a3c7d20d4c18b5dedeef184d3672cc,rejected,,2026-08-18,sounds like D
learning.char.c06,85e72a643e0178b6455fe80082362bd07ffed838674310de9b26b6d17c08738f,approved,,2026-08-18,
learning.char.c08,67102b5a9dc8f0b7867d16a74745b972b823431d7e265f08ac7274d9eb8d8f15,approved,,2026-08-18,
learning.char.c17,e9ee95503dc9e4811452c024a20990520b3354a3bc442b94f724cc99474c15f8,approved,,2026-08-18,
learning.char.c18,4aecff8a8b60cafc3f6da0924e514384c8ef6917ce06493def9d968dc5a2f27d,approved,,2026-08-18,
learning.char.c25,d91b2ffd9af4df16ec2cfcdead8e712f9e12a44afec2df31f9e42c2e66d249d6,approved,,2026-08-18,
learning.char.d,2f37e5d61ac768fb494799a06b5fcfe40ef14333edaed5214f27bf63a58fd0df,approved,,2026-08-18,
learning.char.e,5dffe2e1983ae748906cb97060ce968da3015cf5385c354671fc2e54155baadc,approved,,2026-08-18,
learning.char.g,3b638844c79bc1766c4b311c90a84f1e63b639e82ee0ea0ebef9ea1279201632,approved,,2026-08-18,
learning.char.h,928c9dbdd3412e818b5150af4d461260bb0257b9785dc0478779aecb2b5d1eed,approved,,2026-08-18,
learning.char.i,83814a9d0ef12c3f9e4c7ce35b756cd3d703615acca27bc0711d5d733921bb5c,approved,,2026-08-18,
learning.char.k,59edec129b36ad13c449080cf3268622c2ae5e5c4993e344804805d5bbaf6046,approved,,2026-08-18,
learning.char.l,beb3f400512b96e4ea4a4849dade1bea111af0eba4f96eac90d9208d7cf23435,approved,,2026-08-18,
learning.char.m,e5bc08fd24acb711c1795a6a21ba16c9cc7484ea1d0db42640343bfecb12b78c,approved,,2026-08-18,
