key,spec_hash,status,reviewer,date,notes
learning.char.a,4e154d38c184c4359d5d83ce8748cc4ca908aee7ef7c6f075378583d67d7e3b3,approved,,2026-08-17,
learning.char.a_accent,4ee7ccb115f1ca75c0229fff6feab73b489d84f2d3056456346ae3c3a61081fc,approved,,2026-08-17,
learning.char.a_diaeresis,8c83e4f1fe0d28fa303ec146e12f8e74da9b53dd2739065ad3d5a0535070302d,approved,,2026-08-17,
learning.char.b,baedf3f2a8b3c5306ae0d2b0c7ff65eb5533925fbcae3334bfc8b061c641beda,approved,,2026-08-17,
learning.char.c,9ec66040c6ebaedafb3d7b807d7cc083e6ca4a9e4885cd33a2200a70af91acd5,approved,,2026-08-17,
learning.char.c_caron,218745fe4fac1c45d8ebfd00e0f2537b7855a2b9be6a364ff3bd55a9a351a723,approved,,2026-08-17,
learning.char.ch,b9e888d0b52add3bbd725dd0bad800f7fafb894ab2aa0b4662b0242fd9c6e37b,approved,,2026-08-17,
learning.char.d,05a6a2c45d00d2bcd72c1b9adce86fcf3b5a85a4986374a67fed3757741e1a75,approved,,2026-08-17,
learning.char.d_caron,da1c836a8033c5ea61e3cd0867fe9c3813b9768f1bf5db823d7db5ea124992e3,approved,,2026-08-17,
learning.char.dz,4f418a5f73c247f6cfae07463defabfa4bab75a2de619fe46ffa8d7ca78c340a,approved,,2026-08-17,
learning.char.dz_caron,868bf0893a56acbf98219156dd233d4c1cfab59a2307ef7c2166d60fbeabef18,approved,,2026-08-17,
learning.char.e,40c386e89bc0e4f82330f6a9fcd24be800ee38aca0a32dd176a8bd7b79b4ac45,approved,,2026-08-17,
learning.char.e_accent,f838d2720b9a0d87fae4ce60bb646af8435400fe89b072dd985ab77a7ef8f952,approved,,2026-08-17,
learning.char.f,818683fe0477c6526b41cde2d6c239295780f4822b1f4422d585db721b8d6829,approved,,2026-08-17,
learning.char.g,5bc5df9a0ddd7821a7f177b6a7efab8d0a168a37f744df90d5ba21772d002bb9,approved,,2026-08-17,
learning.char.h,8ace600032a502ce53c0db93a32a3dc7fe6f923c0ae16cfa359e7ddf44c9c1ee,rejected,,2026-08-17,"says ""cha"" instead of ""ha"""
