key,spec_hash,status,reviewer,date,notes
learning.char.a,5e172cbb939e77c821d6ab3622dbfc50c1f2021a4a631395384e5eb88f493fc7,approved,,2026-08-21,
learning.char.a,1329c058b5d4c7c8eaecf6e4e2b0687858c1990702e5381967cb0d3e4f0d75f9,approved,,2026-08-21,
learning.char.b,af78159ce9c6a2bcca83da73b2270348f66a8996fab9198963dc73784e941451,approved,,2026-08-21,
learning.char.b,06a24412f57c86d9d4a68892776b93e1e12a2139520875d9c0e6b1b93a864bda,approved,,2026-08-21,
learning.char.c,c0467f92a17690abec40100678cb464c6df3cb619d13be2c9eb5d476cf6022dc,approved,,2026-08-21,
learning.char.c,868eb8c6a425cd4115b989232b9890c07075c0d24aa688819417c99cdb5af564,approved,,2026-08-21,
learning.char.c26,2f4c117b0a45842df48a5deb765e38756938aa368c0d79587ec1865850dbeda9,approved,,2026-08-21,
learning.char.c26,0f39063e563ae8c5301c34318596c8525a27e8a269af859b62f50a87cfbd0822,approved,,2026-08-21,
learning.char.c27,33f267c53530c7ab61aceda13578e4485a7b1baa19f08c5563e6d2f31c8433d1,approved,,2026-08-21,
learning.char.c27,88f5e9e3617f102662a967599950ca733b2381bc1d4a3307ff1d9c121e12b2c5,approved,,2026-08-21,
learning.char.c28,b5202874c23a83c49c4879989a2d1147975343b8818e88e40cd37b38eb38ae09,approved,,2026-08-21,
learning.char.c28,0ca858023daf08044686b2b4edc4077c4577c5dacada44e635479716aa24945c,approved,,2026-08-21,
learning.char.d,9413773474847e26dce33c22127d9f9db8ba79b15090e0b5e5050cb3ae5fd6d4,approved,,2026-08-21,
learning.char.d,47ab5b7f0efe026a2bad1e0f00d1a5f0d99a3d5cd4d9a9c3eed0ff0ad077c513,approved,,2026-08-21,
learning.char.e,ba538c8a311dad78859b8a538c0e93108ad270eda4f65ef287979087b02296a8,approved,,2026-08-21,
learning.char.e,71f9fe6baacf1fa051fa29b0a362d9f5646e8f54c5c3569588010a53fd833aa8,approved,,2026-08-21,
learning.char.f,fc73679c3513480a20ae90457c6d6bce61747f170a3a2d4cdc3b96e7aa21442f,approved,,2026-08-21,
learning.char.f,79b2c9feeab659fde6e6fff6b4cecbcc460902156e99db4564d0f57875551fcd,approved,,2026-08-21,
learning.char.g,41cd363f4093ed24d170659e03c1b8c3e18742d9aff0baeb12c8fe7a1eeba8ad,approved,,2026-08-21,
learning.char.g,11c049c2c1307667db8859878206a39261419adaeae928e73f82799d8833a2d0,approved,,2026-08-21,
learning.char.h,a481fcd793c680f80c96e958fd1e6b9078771f99e965dcf414f3ca7799607bba,approved,,2026-08-21,
learning.char.h,665df352e9f6b664eeee7b511e052940ed72d8fa1cd38313bac095313510f023,approved,,2026-08-21,
learning.char.i,b44e5c44990f78710e8f6fd8d2199ca80b8ef9d37fde73a726a46120c13dfe9e,approved,,2026-08-21,
learning.char.i,f11cd3e33d17d40da0b0970bbe7adc0e04807f40f470a459d4a1635ba87a41b3,approved,,2026-08-21,
learning.char.j,8103b5c059798597b1f9be61a79239a9405f9417f873fac009ed13c55704a677,approved,,2026-08-21,
learning.char.j,686683548be012e725cf17990fa4e3a6440fc42962d73dd382faf73bfce55abd,approved,,2026-08-21,
learning.char.k,120ac664abc12f7a36a9b2cf2e2deb452c1c925c0ba0551277d79e805f1d0ac3,approved,,2026-08-21,
learning.char.k,703c7b81b9881a4bedbab1eb4fcc9c9e495772c4c8cd8259d2e05bef8865fc93,approved,,2026-08-21,
learning.char.l,67c17e105919171a095f5e0a872b4b934b3c05f505d2418772852dba2d0748cd,approved,,2026-08-21,
learning.char.l,b49535e899eadda27dac5bd7dec8c602420b3273208546b7a03c64aaf8b7b3e6,approved,,2026-08-21,
learning.char.m,d6e9ac4a3bec06194e9098667354f6af77d71f17f84af5ee47ef0667e017dde5,approved,,2026-08-21,
learning.char.m,39ee30d8ebbe5c5195dc2b69107ba2e43434ce93a2c156b2953628b06a69ddb2,approved,,2026-08-21,
learning.char.n,74f6ed7d48fe41f5dd36eba77aaa33470cfc20c43bb204320c75654c9044d53b,approved,,2026-08-21,
learning.char.n,761dc8edb237058c1c045475d524a4df7ca383f01df05243ecbc5055a30ccb89,approved,,2026-08-21,
learning.char.o,e4caa0571e9a4111c3ada317a96b88ad1d5b441ce4d51da2dc418e6c2cdb8e44,approved,,2026-08-21,
learning.char.o,bc19fad16b4250d79a1831f36b18c2b16ca828fa15e744d3e92ed30618fd9906,approved,,2026-08-21,
learning.char.p,689c0018689f45c7e962904a802283b9af5d350bb7b1f937b18092b6d64fa666,approved,,2026-08-21,
learning.char.p,61f5b9994afd313849ece631e892c16e43e18c0b49393a6def9ccdb59680bd17,approved,,2026-08-21,
learning.char.q,7704bba7c204e0c5af72a224135a940bd02489a16a83d5d6d68c01d71803a3ad,approved,,2026-08-21,
learning.char.q,4d7cf8b443c475c31d1d62893db96521315a5a0f36a85d427748b77c8c5ab24a,approved,,2026-08-21,
learning.char.r,5fb351d686a6fcedcb58da8a6d79d00d624ae82f2d5741971d30155d445b143d,approved,,2026-08-21,
learning.char.r,3812adb33241201150ea9899a4707b157e83fa28f0ab7c372da9ccc687494884,approved,,2026-08-21,
learning.char.s,309c3e07135746c55472c91dfa2033c1b23380849839784568d276409a58296f,approved,,2026-08-21,
learning.char.s,9cd228bc88151dc458c4c6d6c10cf9839fe2d39b55330962d2cd7e664331b44d,approved,,2026-08-21,
