key,spec_hash,status,reviewer,date,notes
learning.char.a,0d4c21c378bc3af876ef344b7a74f1ac0c357ae5affca4f794e58d60b083d9fb,approved,,2026-08-19,
learning.char.b,4efe2c5f49775de0698fbcdf48e09bd2202e801e46b319f6cd9591bec5288e70,approved,,2026-08-19,
learning.char.c,9f105d48ebef77f45f1eb295b5dbe22c746bb69a5c763f964c8464b4aac4e1f5,approved,,2026-08-19,
learning.char.d,7595b5f3481d76abbfc5827c938fa5a7bccc5dc591e293340d08675a94be9129,approved,,2026-08-19,
learning.char.e,4954458442ff652b98f54e1753654c2166fbb5a2ad1abc55b388f1b1a2f90840,approved,,2026-08-19,
learning.char.f,48f7a1f9bf30ec63bbcb5183a62b558952297b7fe0b21ce6cf05f7612295e71a,approved,,2026-08-19,
learning.char.g,280005782d2ca442c84653069b8f81fd35c607303eecd25a49f15ef0cefa802c,approved,,2026-08-19,
learning.char.h,5f9d407b1e500905ca32399bec7c5eb125ea5e134c0407393c1f08890576a25c,approved,,2026-08-19,
learning.char.i,a95adb7ca77c885137d693d52815d1aabe73046f9755bc351ca3dfce5ce6608c,approved,,2026-08-19,
learning.char.j,8c4aac35c9d85659dcb57845059e860888d0399358d155869955bdab8ca4cacd,approved,,2026-08-19,
learning.char.k,26724b8acf09c28c74bba666729e2eca118b7e9a70995378c014a71823ca8522,approved,,2026-08-19,
learning.char.l,338511b212460a9b3fb8b1e41a19c0bb87cac5fd44a36a49a839a30fa24a3969,approved,,2026-08-19,
learning.char.m,7ca3fb77f87d59dddb218174de8c706aedcbf9d20335a339fbd4084e959bcd46,approved,,2026-08-19,
learning.char.n,1e603ee6b311ccc03c3a1456bdf571ad3f6524cb81ccd07b27080071f4d30664,approved,,2026-08-19,
learning.char.o,9d9881901ab7c69133d2659d4b0b412d1f504c64fdd530919b21b22a8be20f52,approved,,2026-08-19,
learning.char.p,58e13a1cda8a837fab3b913f86c707bfd90ef73bceb903fb5f27011da061853e,approved,,2026-08-19,
learning.char.q,dde4a86a6e1201b761a3b60c10a3fbdc00866f3b73f6cf8c707990bcfd7a0371,approved,,2026-08-19,
learning.char.r,6d666951fba4d1edbae7661bb49c813c9d573b37b76b4ef3be6531386f8ee959,approved,,2026-08-19,
learning.char.s,8f3ff3d4b80aa2e2e1548369e4743e9584d3edbdbc6875c0e6c6edae324944fb,approved,,2026-08-19,
learning.char.t,dd67a2954202400252d9de67249577cc58b9155ba2d8ab960480ba9a21537ea8,approved,,2026-08-19,
learning.char.u,6b57751482f6de19f6fcde76063cc681bf55e900813665b15d3ecaead887ed21,approved,,2026-08-19,
learning.char.v,085597acfcaac1e491c1a5490709801edcdb96436bd26cdc9982881a308f7c92,approved,,2026-08-19,
learning.char.w,40c5a0cd322fe670719e8932d1641c412d087d7e34a3222c8404460e9492eca5,approved,,2026-08-19,
learning.char.x,5f43c40ae8888114c33c584801298b2ffd8832aec30149941966054c945490f7,approved,,2026-08-19,
learning.char.y,7b607c9d09347f5c3f36459e658adafee4e198929cd21fa96e3149a891e8d4c3,approved,,2026-08-19,
learning.char.z,2bb754f7ad9e2efc95588c62e408fe39a9ce25b3572f37b3f93008b84b0d9c4d,approved,,2026-08-19,
learning.number.001,90ae237ef8679b55e6e390ad07fbcca8906e61a61f2775e242a135ab9f0ec6e6,approved,,2026-08-19,
