key,spec_hash,status,reviewer,date,notes
learning.char.a,78a1f29e448a2f338721b97581295f30c4639dc1693daaf132aa502b291711b9,approved,,2026-08-21,
learning.char.b,1f2547924a6e2e14f1c7900e7997a25cc88f44acb4d393b37e597fd50eee74ec,approved,,2026-08-21,
learning.char.c,0b9eee34683e5d1bef5e66dc64823780771bf7f6af393b6d74e1f75d14844cd2,approved,,2026-08-21,
learning.char.c26,cfa6176eab3196cedc64a3bec8204f1d5a35e2628a46d06a2728ce4852e99687,approved,,2026-08-21,
learning.char.c27,6dc861dd5e84323c0cf666eaf26b8849b5f147e9821508c439c824f62b35b21a,approved,,2026-08-21,
learning.char.c28,5c6937963f3a98ed8b9f73020c51b40ca9b4c47d578088992dd638bf8e290c4b,approved,,2026-08-21,
learning.char.d,7ef28948eeb6c9366c6191aded9466837e8846471f5b5d8cb241e66cdb99e41c,approved,,2026-08-21,
learning.char.e,61ad88a45d1bbba00d69505d774c741e09c8e2503602b36c87a05bab479b8358,approved,,2026-08-21,
learning.char.f,289ef082becdead69d934110858c88dd5ced3aeb2d1bfbf7feaba8dfca6280da,approved,,2026-08-21,
learning.char.g,18e37dfb59e08ff5d590c5030983a9ce6410a2ba46406d9139004593b1641a59,approved,,2026-08-21,
learning.char.h,8874e66a1961e1f4f27b7c0cf8844244d20703f42be1e1a6265904824fea9dc9,approved,,2026-08-21,
learning.char.i,30f5c55a247b832f31813a9536160a7f52fc07b0802e2eb82742052226c05fe4,approved,,2026-08-21,
learning.char.j,e9de4feb4a1db7016322fe62f1c183c6c38efb4b242b46dcb64e5a76728bac91,approved,,2026-08-21,
learning.char.k,7c26982778d68acc647a97bc7bce3b50091f861ba8881c4c40254c9ffde81fb4,approved,,2026-08-21,
learning.char.l,8f6f0d9c5ec5cb2cb167105dc367b199da1bc6fc89da8d62c34d14fc37b0f873,approved,,2026-08-21,
learning.char.m,ed43ed9a85cd5ebed72a50dbb2f3db9f71a03b2fd14684a01d092c6f025aa00c,approved,,2026-08-21,
learning.char.n,b24cb8c758bd9554b4752ccf1b79a1179c9d5288f4a43953fa424a506de8fbae,approved,,2026-08-21,
learning.char.o,8500df06ace7df7d36324d1505990433a71aced95a45c10dadcfd3faab63e82d,approved,,2026-08-21,
learning.char.p,b59f7a5fb191c16bab309d1532aaacd3e9680cc9f49c42cc529dad64d322911d,approved,,2026-08-21,
learning.char.q,78a4fcb680e949df34a9ae5ab4903fc792a27fe03fda296849b48fc36a840e45,approved,,2026-08-21,
learning.char.r,4bf3437ae573e98bc5ecce0237c1f36a5e0f3541ace902de4c74934742bdf23f,approved,,2026-08-21,
learning.char.s,4fa82656ea48b64282cad217fe9041c34d29ca9ac7e8d5425b085628e53e2315,approved,,2026-08-21,
learning.char.t,d7702378713f2f945fc698c542723a1252663d8038154e80bf9d74bd9a2f26b8,approved,,2026-08-21,
learning.char.u,8d5ad917e8ea438950b671e584c7d89cd160fceffb27524d7e2ea4a53cc142c1,approved,,2026-08-21,
learning.char.v,93423e20d46061cfb03ea0ea3d1f4ceeca6964df8d88e2511d3e501599d10d51,approved,,2026-08-21,
learning.char.w,5f45ff09f13cdeb4ee35a3baa9f3781b049345b9b112e552709d6ff69f9ec29b,approved,,2026-08-21,
