key,spec_hash,status,reviewer,date,notes
learning.char.c00,c7d70cd711d8846b66e4b65806bc6fe4cb30de1a32d72e90e2e522053828a2bb,approved,,2026-08-20,
learning.char.c01,d76770a363a115d947ca5f5a1bc77fac3d9820754847f6d45f91e722dc8e6ff0,approved,,2026-08-20,
learning.char.c02,7b37ea4f2e40e11b6025c9103b569492226adc4a0ffd27420199b8c4c049d45b,approved,,2026-08-20,
learning.char.c03,10025ca4b276e6be4fae20b93ae039cd74fa4d8c0a9ccd573c0d38e21c610007,approved,,2026-08-20,
learning.char.c04,adda3c718b7bf93694ea82da89b0bdc63b54d2d62d56ab1699ab14260266ed3a,approved,,2026-08-20,
learning.char.c05,26e6ff6d6c337e262f548333a04bd69fa935a2234eb4f47948d265a9eebe0092,approved,,2026-08-20,
learning.char.c06,db5e78b998c26fc29a596c39184d6ada3a8d5e3128e9f91fb61c777c3085f8f8,approved,,2026-08-20,
learning.char.c07,2958c796b88e4462eb980593419e83f157d1f059249ccca72fd608cb7f89589e,approved,,2026-08-20,
learning.char.c08,8671473bb73ac108c9009f6075c9256893211a560203dbd9d580e5f599bce362,approved,,2026-08-20,
learning.char.c09,3de2ac34a193739d610065984225f18b324edee4d3d09cae5f6d46643e0b166a,approved,,2026-08-20,
learning.char.c10,9235eaebe2e174515168051e2f7e8dd9388cdb9c7ffbcf17bd0100a6999dac80,approved,,2026-08-20,
learning.char.c11,da0028aa027eed35a674ff7852348fe3125a11c49c59be4a8e9bd6b8d16a8736,approved,,2026-08-20,
learning.char.c12,5d754e8ef350986639f9679ce518216f837a90bd02e01f311dd3535dfb3c4244,approved,,2026-08-20,
learning.char.c13,29e8ae4b1bf972386059a701500466a2cded882d8b44342aac2304fb0ad9bca3,approved,,2026-08-20,
learning.char.c14,4fcd30615cf69713a14f472eb1aa7cc49f0c5924500c24e064a7d6926ef5dd80,approved,,2026-08-20,
learning.char.c15,e61d581f3d8d58148c5e5e5b6f984c16f14691e00e71e914d5ff732d3454c299,approved,,2026-08-20,
learning.char.c16,a7090a9a6f2d29b5caf7a94e4b4f8b13d065a401d5117658947568d069a11ac9,approved,,2026-08-20,
learning.char.c17,8b4c0c6a4857fcdd6331e8ec0a062e27870775667e735b331ecea26112e06c0e,approved,,2026-08-20,
learning.char.c18,02f3b7166a877a1ca12d412be1513f33043b1ab000af40998bdef2e6226db848,approved,,2026-08-20,
learning.char.c19,cf4e81bad332caf410bf5325cac8e7b51b9c4b416f8f8df48bec92ecf5e0903e,approved,,2026-08-20,
learning.char.c20,652b32f42c3b9bfd276916233b03269f95ba1793edf44d12f3811d33313f6963,approved,,2026-08-20,
learning.char.c21,8783282f6485f6de2c03b3c6aa7eb3d2b3bcc37698cb35068204f563859c9956,approved,,2026-08-20,
learning.char.kaf_final,f9a5dc30d19bb54999f288c4bb3c7ca8bdbb0b4dec330f0542e8b431191923ba,approved,,2026-08-22,
learning.char.mem_final,a95b07003a3a55ae44a1fd3cbfdc4a95b4bef93984ca7b275f14fbdc23b7d8ba,approved,,2026-08-22,
learning.char.nun_final,778715e62f057cf7a9c4ae57e6d2dda58aed233d0884a995501efca734f1717f,approved,,2026-08-22,
learning.char.pe_final,0db17acf80a3be58f02604cfa54a6a7cb456f35cd09afc77794d2c32a0d1e5e9,approved,,2026-08-22,
learning.char.tsadi_final,e257db00380b2112f2d43c56a4595b697d554a9e75bf3a722f6a2bceb34f3baf,approved,,2026-08-22,
learning.number.001,218fed299ffcd862feb74bb46e8187df13aa35f22952dbe56513804b2c4d396b,approved,,2026-08-20,
learning.number.002,264263628b7248c2a64eebb36ee88c9d4f274d5f8b7d9312a65102252a8346cd,approved,,2026-08-20,
learning.number.003,4cf9282041229da3c584977b27fead4b0973b4b38467cf4a4255ed38ed639b1c,approved,,2026-08-20,
learning.number.004,b139ead54ddb73003a99c44652a1dbe94087c76a1cc4234737f4c2945ddec7c8,approved,,2026-08-20,
