key,spec_hash,status,reviewer,date,notes
learning.char.a,4dcaae485140d34b7ca47e9e5a2863206d7dae3a5d95f7e83dc17ae0bcba8c0d,approved,,2026-08-18,
learning.char.b,86cf6b7b49a56190632046e22e929fdf745a2ae3cc127fcb33b79cc145573ed0,approved,,2026-08-18,
learning.char.c,99dfa5110c2ea2705fcbd9954572295e3e56227ca699c0aa732407239f193ad5,approved,,2026-08-18,
learning.char.c03,0a60b2634689f5e35de0c757a1489dcf8bafdadcaf3c58b4927ea3de253e70f9,rejected,,2026-08-18,sounds exactly as simple C
learning.char.c03,24adc73c762bf736bfbb6de5bec8fc01acd9fdb6f657533eeb7d2dd349036c8a,approved,,2026-08-18,
learning.char.c08,77eddc54e94dd2ef81e73fa5caf337ba85c3be2abb24f3c7a0820654e1f80806,approved,,2026-08-18,
learning.char.c11,23505c516f9984588caafa018ac910397ace5d63632abd2613af46ab6a2a13c7,approved,,2026-08-18,
learning.char.c18,550b6994961e9e21dd456a609cba33cfe008e294ccc271f4cbbf0f9659eac640,approved,,2026-08-18,
learning.char.c22,b19cc8ddc0808dffb6c76d6593c5c23d1963cee3180517152b66ae5f5ff85023,approved,,2026-08-18,
learning.char.c25,a8aa59ae7dec934782b71b8a0c4c1f35308785ccd497219b5dc4a28a9daa8cec,approved,,2026-08-18,
learning.char.d,512440c0522075dcbce21735479fb9cd9568a0d404a43d57863e8bad323e0c35,approved,,2026-08-18,
learning.char.e,a7a54c895fb6d777b638b6d54e30ad0ac1011fc566b91883dfcd9bcd48fd327d,approved,,2026-08-18,
learning.char.f,9d2a1cb79ea556bda02717a0acd6615e1d6952228dda7a20488803d171bebb90,approved,,2026-08-18,
learning.char.g,c72d677a23afde73c98a01f7bc8adc24fbdcd8435a74b076d98c0fcb93d8f30e,approved,,2026-08-18,
learning.char.h,c72e53e026cf20892d0dce94a66a902891462b6f16644324ee9a37560d435171,approved,,2026-08-18,
learning.char.i,961b64a887907aff695e9b1ef59a801194652a197d4bc0fcfde47b2c8bd9e910,approved,,2026-08-18,
learning.char.j,b6fef8262d3a0f04269e83d54aac445bb4e4dae75ca20b5d68981508bd31547e,approved,,2026-08-18,
learning.char.k,88e82569b67bdc68e4fa881bb70b279bbd2d2f9cfdf023611a723597e1fcf437,approved,,2026-08-18,
learning.char.l,4316ab42417742fd86d3c4b5232ff34e3dcf18f0033aa8e338a13a639f5d1a46,approved,,2026-08-18,
learning.char.m,8dbab662965cdd213902722f25dd629876b31fb5c9e3c928dd183725aacf94e7,approved,,2026-08-18,
learning.char.n,3ba15765fee19f9b1193ae1538f9c56ab1209d3171002b74f4257bf339e32ff4,approved,,2026-08-18,
learning.char.o,027e00f276f4d5d999359cde7af0caa73e292863214f26c1fb1f1b6110caf38e,approved,,2026-08-18,
learning.char.p,0c07612d7357b38832ab91549e5e26284b97d34461557950f12df34a4b50d782,approved,,2026-08-18,
learning.char.r,f15aff886feb71b3b04b4265cdeca7c36c121dd110f78511af39e19eca0c6b09,rejected,,2026-08-18,sounds like zhe
learning.char.r,ab3af6f2300c5bf7a79e785c00b4286ba4c8aa40c1aec9409383f66f5366fd90,approved,,2026-08-18,
learning.char.s,63430ed8e81778f0432cde560054e1dd3218cf643e44811fef2a957f5c47aa2f,approved,,2026-08-18,
learning.char.t,a8b95a232c81c4e964eab5639948cf8e74c26bb8497fe119d076b70ba5d43665,approved,,2026-08-18,
learning.char.u,c2ffdd9e0e05ca435fd418921a0aa7449c94fe25af02c88257f66d7cc8fb43a2,approved,,2026-08-18,
learning.char.v,ad0b3ec05e8534c059d5157febe8c0b243ce392399b5b20378cc213948df1bc2,approved,,2026-08-18,
learning.char.y,03ff70dc3b0c2fd24968b6e2b7dfbfd1782742fcfd1633828d358fff5f7293f3,approved,,2026-08-18,
learning.char.z,724b75116f95e3d6ff4f80a7fe69608fd7d14a8bd36f6fe98b3bec3b9ca54852,approved,,2026-08-18,
learning.number.001,738ecddf69d156c5c0e038c9448c1400dd251335b53e038cf9d19cdcbc296852,approved,,2026-08-18,
learning.number.002,9b219db6b7bb105925e7ebecd8753cf1c5ce576ea2c4ed26a5ae3570978a07ec,approved,,2026-08-18,
learning.number.003,496367af04783254d520a5bc859725cd2e8cd13288330e3f538cf35f4dfdf67d,approved,,2026-08-18,
learning.number.004,24477637fd923ea0885fc4d6d782ac332fd596443fd38b0040c4f730565ec274,approved,,2026-08-18,
learning.number.005,1413ae3f18e4b3de4d4d9bc44f619c84dc77d51ca68fd6fd474fac66b42de4dc,approved,,2026-08-18,
learning.number.006,ac8ed208b05d1170d9a85255055e013b725db32e61bee684f108d80670be4725,approved,,2026-08-18,
learning.number.007,cdd58f5029bafeac03f4f35a2b1ba7d43f3bbde23f32fbf51ad0da4c45cc147d,approved,,2026-08-18,
learning.number.008,7992293db55b81bdce10756d86320a0f39fc22074a22649f47d641c748c07200,approved,,2026-08-18,
learning.number.009,930080e9728f2721fc1de87ae6ba2a69afccaeb361471d9f4bcdb0fa4494b131,approved,,2026-08-18,
learning.number.010,eeb85897f1b8b43d20b6c408d72002ec336717e22c811c97ee2365efeaafd45a,approved,,2026-08-18,
learning.number.011,0fda4741a3f448c51297281b904c5b6d376414f51949eb8cb35cc42e6da9237a,approved,,2026-08-18,
learning.number.012,1e481ee26ba333c4674f5663aadbf8c4b7666e0d9388d0ec1d709e3ce7900beb,approved,,2026-08-18,
learning.number.013,59d8b1f4859642e563de7123612834458bd1f3a961c9e3e709b32c982ca6294e,approved,,2026-08-18,
learning.number.014,1f815d7d75db872d4f8123bbb5e97341353ad09b81dbb05600044bec0752777e,approved,,2026-08-18,
learning.number.015,67ad3f4da1b34dace45ed72599ef51a066c812d76ffcb571a0756d1c5312e8bf,approved,,2026-08-18,
learning.number.016,6877a308a86366be098d5d615abd80b300a00d022ad19916edcca532f07e4459,approved,,2026-08-18,
learning.number.017,9014b0024b4c5646243370ad1ed1b8c89804efe3280d51f32c2056125b3ebce1,approved,,2026-08-18,
learning.number.018,16b16a39663c172966022805d5b00c6ff14f14b273c72e6927bff3a76c23cbfa,approved,,2026-08-18,
learning.number.019,6cba334c5a7df5a0878aabc7c537a73ae51d8976ef78a22398707b519f5e9280,approved,,2026-08-18,
learning.number.020,e2664b8d00cde53fd46f7bb65323df1072b36f5be588d38f486604a1670bf89b,approved,,2026-08-18,
learning.number.021,b78119f51c82199a32043706120b6a7db04726d6ac137310803c33c2ad357d0f,approved,,2026-08-18,
learning.number.022,917ecfd9d20b2d99361a3e392bbf9e16bfbd38f627fcf4138d7e77e9bc0a7971,approved,,2026-08-18,
learning.number.023,e35a3a530c6bef1703a3d90b1c185cb5d7a741e1ba9df4b4eba49ae6479f25a0,approved,,2026-08-18,
learning.number.024,94b09ec5ac4a68f28a9112540ed758d20483939d351c098ff050662f57c9ff91,approved,,2026-08-18,
learning.number.025,e617fa6e8e090689b46c744b114f40ba0921e515b26bad7e124cb839bf527c21,approved,,2026-08-18,
learning.number.026,2caa4a8b14cd123ea0068ec23a8850133cd348609eeffb47e973c55472bd511b,approved,,2026-08-18,
learning.number.027,dee95fb58229f303264dd9cc1cf81bd7d90ead2efb9434a21402e95cb293833c,approved,,2026-08-18,
learning.number.028,a300fabf4df0e5cbf7e722f01b4b77c449bd21a89428730a120c3614b224a995,approved,,2026-08-18,
learning.number.029,1732d866e41a6f33f9754470670e9510de3cd16c3d68d3e15900710f9f4ccce4,approved,,2026-08-18,
learning.number.030,cc1eb1f46c8e63a32a33d519cbe3b10b4c29959937743a5b64af3de9e581e8ee,approved,,2026-08-18,
learning.number.031,a98b33ecdf8a1239dc475ab36d2552791d888f5d65254603b026d03005ac694b,approved,,2026-08-18,
learning.number.032,817699d282a655acdae03220d50d13297237f485aa15ae7ae57124195816ad25,approved,,2026-08-18,
learning.number.033,79cf26059ef4a7be6045c617ee4c056132d96e55f1cdb73189cdf1ff7346b7d0,approved,,2026-08-18,
learning.number.034,1515e0e8aff2261c42826ebfbe06537ecf36724d7bbc8abe10c15cd302320dab,approved,,2026-08-18,
learning.number.035,fc4093ca3f2aec24e24c119e160a1faccd46e8b286e64524e06e0d47b33803bb,approved,,2026-08-18,
learning.number.036,bdc39104a8a9d44f3cf2911bd05dd1b831e3cff09e45e4638828ec30d3488cd9,approved,,2026-08-18,
learning.number.037,fe00a08a40051e652b2ae5dcc493cf8334bb332a99404f2dc1280e5607b45b4b,approved,,2026-08-18,
learning.number.038,301b6bc7fa436325e3d0aed1bbd29656837229a634de1c4974b41812d41d7991,approved,,2026-08-18,
learning.number.039,06cc2d141f3b5bffbdf43d64132acd39aa9ab7fa97d3de4e1197e64d89d04c27,approved,,2026-08-18,
