key,spec_hash,status,reviewer,date,notes
learning.char.c00,a71829a3b94c3c233602ab0370f54d058be3f173c4528b9abbe027137d95f882,approved,,2026-08-19,
learning.char.c01,c82e1ca258426cf612e0c7e94c7af025abcd09a87e4c87a2c4b91c71430e0703,approved,,2026-08-19,
learning.char.c02,4ac35804aa2ed18c2acce8e62a939e9220aec482d95c04d80c944a54fa5bb459,approved,,2026-08-19,
learning.char.c03,e8dcefc0bcbe4356a3f39fcfdaa070d2570b4c528803b01dabdaf1468ff238f8,approved,,2026-08-19,
learning.char.c04,d689fc5fae675841c6a3144814e7075031d4e760845189a51337e26f82daf9ae,approved,,2026-08-19,
learning.char.c05,18e665157db11800c186d8ce6e1c17d17afe072767d16d61c03f2ca70df6cee9,approved,,2026-08-19,
learning.char.c06,32a8f9ce45cf6baa75c7fe560be58bd1016733decc56f80da8f05ff7a681f5b2,approved,,2026-08-19,
learning.char.c07,6113182263b3c06e02f134ad5fb22f35f04ed1e59811c6fd73dd24aa4ba27365,approved,,2026-08-19,
learning.char.c08,9d4df475a5826ee2cc4937a4479db346cf22f4594f01378fcb33cd1b90ebfd84,approved,,2026-08-19,
learning.char.c09,38c7b71916e3912bee8c1e0682de71337aecb897f66e6a33a92190a74d561b15,approved,,2026-08-19,
learning.char.c10,a00c6d70a035cad4c50997143a075cd3d593fcf3063c9042cb91e21209e5a22d,approved,,2026-08-19,
learning.char.c11,444f824e0c52944cc07b17351f58121728853b2bbc623d70333ed127fff0829d,approved,,2026-08-19,
learning.char.c12,6cb773bdb8d17581ebda756eb5f85b881f99a8de096a7a9578ab683c1ff16539,approved,,2026-08-19,
learning.char.c13,3fcf7d3ff8a41c2753582c8d35edb5249ba65e4380996bdf905eb227d9b8b18b,approved,,2026-08-19,
learning.char.c14,5b92b93b6feee6b0cc2a14ba1199c4ca051c647664d3acc477da5c610a5f8a9c,approved,,2026-08-19,
learning.char.c15,4efb901c88a6e7760b24093ae51f23e18e9150874887bcd637250dbba6d66790,approved,,2026-08-19,
learning.char.c16,ab40fdb84bf68befb78e44c5ea27c5acc7a5837be1b767e79252321fbdc59788,approved,,2026-08-19,
learning.char.c17,f7b9017f9374af1aa2d81757219831b7660f395de97ece347efd8d799df7cfbb,approved,,2026-08-19,
learning.char.c18,ed846f15e6c17deaf07e51458f3fef5abeecc6cea63992094ae46792fe486e89,approved,,2026-08-19,
learning.char.c19,abe7941fdf143ddfab838440a2d694f8d3537d838e6480d9924bcc762b0476dd,approved,,2026-08-19,
learning.char.c20,fe8a39b66531bc79e9ac0f3cef565d7ae53ffda83d4db94b084bed06b8f757c9,approved,,2026-08-19,
learning.char.c21,a8831ef0d84793a0c0ebb4f31dec7c40e188e44e387730ae422e6ae27271c85d,approved,,2026-08-19,
learning.char.c22,28a33ee21ae6d8d80f34f746d5321d531274be25cbc198d932b1a2a0b4af3599,approved,,2026-08-19,
learning.char.c23,afc2886aafda28fde91f32d522933d93603f242896cb9da4225792a759a091d7,approved,,2026-08-19,
learning.char.iota_dialytika,8f351369f4d1850ee881dcb8e6fd786a666f0fff9eec6955504aaf6255e78e7d,approved,,2026-08-22,
learning.number.001,e4912a0c117427d303b9bd50f7b944d1ffc4fa7ef6780d93828b59495f28a684,approved,,2026-08-19,
