key,spec_hash,status,reviewer,date,notes
learning.char.a,aabd5a3ec05d65d08f87946656a551e40235e3f2d82ce73b6aa15863567f9884,approved,,2026-08-21,
learning.char.b,7846756664d274ac41ff8c2db6905f20e7185802965d7c0874cb51e3dc5c78be,approved,,2026-08-21,
learning.char.c,651a762eb49b743673e4343447d6a928cebd8cddf5da9d2c862441cdcfb6beef,approved,,2026-08-21,
learning.char.c26,60488e1463ec2b45cf0f68abe134bab510cea81396d216ae81279677b4477eed,approved,,2026-08-21,
learning.char.c27,61e48471aaeea16f320ad3f46e4614e4aae36b6f89f348c5c1c3c5fda79a7dce,approved,,2026-08-21,
learning.char.c28,f70d189e5ef49d2a2f137faca8c8df9fd798be1c77569584991a6d77dcffd327,approved,,2026-08-21,
learning.char.d,8bdd9eae0b8d22dfddaf9e0cd0158313e8c1e2519bf05e49a2313acbfe4c3395,approved,,2026-08-21,
learning.char.e,121ff4eccbb77584c821aa0b194342bd3bbd32c131534f27ecfba738f92fd1db,approved,,2026-08-21,
learning.char.f,f4d624d4e631e548ca408687460867b2b1e2946f0d225cec4a785f29aabc5000,approved,,2026-08-21,
learning.char.g,04c694e0c1e3ac0008cc85f2e3242a891f389a7e17732380d26e95591a4afd83,approved,,2026-08-21,
learning.char.h,ec5619362ff2e658b6b88779eff8efcbbf7ba8be30b50e3c8a87a2bc457364f3,approved,,2026-08-21,
learning.char.i,7bac000d8a7cf5370617f769aefaecbe1a1591ebbb1fcb88efd1462f0b698328,approved,,2026-08-21,
learning.char.j,365f8ea30491a376b8f52c5111301e6395c63c4eb740c88af2691ddd7a481822,approved,,2026-08-21,
learning.char.k,492312cbca99dd6bfc1c4a12376d858b62a817a790ea55182690b2a5bbf102b5,approved,,2026-08-21,
learning.char.l,8db18f23958b56e1cbe8aee5350c63c1d5967082062c41d7dfeea177eb18a8b8,approved,,2026-08-21,
learning.char.m,19cf2f65c670bb068c31637b5c5e9da9f2e3b7a1ce85c0003ea379698f3bf86a,approved,,2026-08-21,
learning.char.n,19725999ce75f41a329c54a9ab864776226560ca812fa4f6482118d2b82c6a18,approved,,2026-08-21,
learning.char.o,ac13dde3b55355d2f73af295c62f423c8efa49933d08f63f53a9184930941f27,approved,,2026-08-21,
learning.char.p,189f76b4150a73b579f5633ee8305d309fff8f32197ffa0ed2c77a978be992ab,approved,,2026-08-21,
learning.char.q,594d02a66317047e83cce05cc611b4ba40f56b7d885aa97d10649f090143d28d,approved,,2026-08-21,
learning.char.r,4a4396ff35d0dd4422aac4a237942a21892aa351b709fe95a4b16a709d800bbd,approved,,2026-08-21,
learning.char.s,efaf9d63f38d72d94f7f09d3b40397f9b64dbae6ee93731617af39bc0493c86a,approved,,2026-08-21,
learning.char.t,1bb938a8b9935724901546d733d169e4e1a521b493d851190646a8e2da571056,approved,,2026-08-21,
learning.char.u,06fe478acf8a6748377370e66043b5b34159d7fab71209a7f0c0afc151d045e1,approved,,2026-08-21,
learning.char.v,d75a9a2932c1d7fb0b42369cecddf2f51e9bd4170e975329e3885867664ddee7,approved,,2026-08-21,
learning.char.w,7099dd99903962eff52d16a9d4c9d745823c5fe75d0f3a7f1f6bd33ce36eaaf0,approved,,2026-08-21,
learning.char.x,263a2973832ec8692b6c52becd527caef130deb31410b6dace806afe045c2c5b,approved,,2026-08-21,
learning.char.y,c493aef8841690155be0c60f1aa534b229ec70ace965fa428fa5bba02a14c88f,approved,,2026-08-21,
learning.char.z,dd025d58796bfd092beb065093efb37894aaee6e0edb414e717af9bec994b563,approved,,2026-08-21,
learning.number.001,19725999ce75f41a329c54a9ab864776226560ca812fa4f6482118d2b82c6a18,approved,,2026-08-21,
learning.number.002,ab318f11a9e7c4fe5dd0e7ffb736cc7cb95a5e8e8549c2a9ad79509a41996bcf,approved,,2026-08-21,
learning.number.003,254842445115d15e70165fd7cadde506f71a46ad9cd6cdfc6ccade21f44dcce1,approved,,2026-08-21,
learning.number.004,81dae19b2872d1d322786480336675e9a0b209c629cdaa8cd6111377699b75e3,approved,,2026-08-21,
learning.number.005,26d298b73e565b2723ef47941bf55eacbf639cb2ff8c96911bab50b900f0706d,approved,,2026-08-21,
learning.number.006,518d31bd75f7a41f41401046d292f739d5b8fa01bbebf35d1c74d809db480ac7,approved,,2026-08-21,
learning.number.007,3ac38fa2fe7248eeb93ea22de4ef83609735ae7ce0c574231db7d6c32a084b26,approved,,2026-08-21,
learning.number.008,92e353bcfaf1946ecbe3f49be5786011a6a335a94496184ceb5bdf3d42780d93,approved,,2026-08-21,
learning.number.009,57defb6c70458007f34730697fc45d71625f1ec39a6e954e22ac28a7b1449453,approved,,2026-08-21,
learning.number.010,81bda886f9ef8793ae0bbfe5cb50245f8dcfaab22b17b76629e997da3c751436,approved,,2026-08-21,
learning.number.011,7d8d0349b1036195b8933f44f119ba6f33b9d323e02cce2216ee06753c49e567,approved,,2026-08-21,
learning.number.012,1e4f196cdefb00efcff6a37b0bbe90d2525cd9c4053af773f7a4ae031c9e3449,approved,,2026-08-21,
learning.number.013,c745311f4e239778f4b2733fc5c982a0075a39ae62f8bdb15dbb0a3369a3c042,approved,,2026-08-21,
learning.number.014,e1aa323ab90ebb28dd3e2044cdbaad05c776c146a7d05e8300cf97e1e462252e,approved,,2026-08-21,
learning.number.015,edf8b546e045f9e6f83bee3eeae3fa033b5012aa68e64b42bb923e466751ad52,approved,,2026-08-21,
learning.number.016,1d94488f7b89d07d16cfe41230020ba8ffb8c5ea60b735fbe8d73ecee12602c7,approved,,2026-08-21,
learning.number.017,150a2f1ce40ef308d70f26fa5e79c2af94fa4ee8b6d73d7a11fa478e1a0dfc5b,approved,,2026-08-21,
learning.number.018,cf37b7fdc231bd5535752bec7cae8ea13f67b41f3c440b475fc03016067998c0,approved,,2026-08-21,
learning.number.019,7ff1ac876242f8238f9fefb0ead505e739144f3a97ca689fa75d83fc3741c536,approved,,2026-08-21,
learning.number.020,6e8388827f9eb3402fb2dd5c4afd6e4e8bdc93faafe223f7f444ebab70c252f4,approved,,2026-08-21,
learning.number.021,910f39641ed7385657ddb4d65b505c384f117bb454e1b54866be203c5c0f221d,approved,,2026-08-21,
learning.number.022,b4816aa30604ecadabf89cb128eaec7a6493934006b640b823bee7ef07acda69,approved,,2026-08-21,
learning.number.023,7b6f3abd50b7687a76ef199a81208aae24ac879b8fd3ae3c4be0bde47393ae2f,approved,,2026-08-21,
learning.number.024,ff2a299a6188664cc41042067216053089ce7713833ee1fab3b94845ebf19128,approved,,2026-08-21,
learning.number.025,ca74fe9e8016acb67db582c07b1321ca88ea835430fdab3863103827a188f855,approved,,2026-08-21,
learning.number.026,bfbcebafb62c556488a9878b144e4ada11c6e27e519428cf818bb7021268cb3f,approved,,2026-08-21,
learning.number.027,11564b1f30747d62497948aece8620e3b1000e0b90e11dc00d51983d19852ebc,approved,,2026-08-21,
learning.number.028,65640858bf4c85ca0aa08c5a463489d331a346753763a579dc56ef8b12530e08,approved,,2026-08-21,
learning.number.029,cc72a590069133409a199e75cba0cb86ec344b55f12580bcdfb35e51102cb81c,approved,,2026-08-21,
learning.number.030,fc8daa3585cf3c466f6c0208ad8d9b984c5f101e1c0ee82431c5f4f2e7436d0d,approved,,2026-08-21,
learning.number.031,e7ac8cbafaf2e20edf8ca6d8eeef19959f964e9a44accf22d7a6c17a5bd4ff06,approved,,2026-08-21,
learning.number.032,16f08690bdf94c567aecf4279b25e3025f711156173ece532820bc89b573754c,approved,,2026-08-21,
learning.number.033,17b58926b42224679283239857f45a857d90fad446a19e76797118515a6db82b,approved,,2026-08-21,
learning.number.034,89bf879a1b78beaa90297d8cdc5073d5159c8afe4a741e586bd368329f056a17,approved,,2026-08-21,
learning.number.035,73d649aa602421b636e978a9330fa3d6af46b0c8aa86aba0b769eed448399b6f,approved,,2026-08-21,
learning.number.036,061d3b467bb312933d646a43273175e0fdc4063e84a2f822b05a3faa44155f59,approved,,2026-08-21,
learning.number.037,5f4dd812c8c0232253f7aaad4f9ca530acc27b40d5b52780e7b4437639488dad,approved,,2026-08-21,
learning.number.038,ec87b33028d8dcc70d09f4c5f27ef3388b6356ff0c2948a12604462d6171c66d,approved,,2026-08-21,
learning.number.039,e4cbc0836a794e77eea3b729f3daa2eeaf8d26a61d2ccbda011ee50d90e1a5df,approved,,2026-08-21,
learning.number.040,bffa17741a1dddde6bdbb8bd7edacbed0d8c9c3133c406d16d866ce3c589077f,approved,,2026-08-21,
learning.number.041,e096b8fb5919127bbb07c8ed73275596358775013fdb59c2ac9ce6c2b02b8c3d,approved,,2026-08-21,
learning.number.042,4c72f1342c4ab6f497af764147d0b1a933bc9d6ac63df6c0b29b0d54f1154572,approved,,2026-08-21,
learning.number.043,c448c6e54507ace23e1537d502eb666564d916b47c40a568d1cfb04785a0036d,approved,,2026-08-21,
learning.number.044,db36c528387db02135b4accfe7302677204e30b28da07a99401adcfe7925c968,approved,,2026-08-21,
learning.number.045,9477ec3cb1d567fd22d5e649b16e1ebd1f18fa8214db2ca35f59d61d508904b8,approved,,2026-08-21,
learning.number.046,fffbf85b1ee08d93d85ea6e6822a0c53128c75c404694afe3bab6c9f5ef2b011,approved,,2026-08-21,
learning.number.047,5ac993766fdfb92c6d106acadbdac24f8ae19e304ad26ed4bfb46c53396b671b,approved,,2026-08-21,
learning.number.048,0a9326c84542ebd9394befd34e086aae7853db96e7b7a150343675d4bd8ea26f,approved,,2026-08-21,
learning.number.049,686a5664567e5672945a1990edf1a67b664180a167af62ee0669b88266260c6d,approved,,2026-08-21,
learning.number.050,a06ed5112569a04590eebf062513f73e495c1d5a1188c3dffa5424f7589e90a2,approved,,2026-08-21,
learning.word.agurk,f23499f13a45f0cf4fde3af568b7324b5f2edeb36864b595c208ac4c0c876012,approved,,2026-08-21,
learning.word.ananasen,69d0830a11726a00e9366c3fa9630b09946ddfbfdee13430e75ca79b87420cf4,approved,,2026-08-21,
learning.word.bad,b1b807fea88ace0d6c64e6c2755ff7a80aed5bd43e1163f0a6094e2ed347c1c4,approved,,2026-08-21,
learning.word.barn,9e5818f99e5d93ef5565c6213bbe1bd333e204f11354c04d138f3a35d286095e,approved,,2026-08-21,
learning.word.bi,fef406ae34335a2178fa1c3544de681db2d07c3f3435928f4d0a8ceb0b662b86,approved,,2026-08-21,
learning.word.bil,6bcf8fa633ed3a70ebbdb6d09bf2ce25a9dcb4e83adbe84ec65aa06b71677394,approved,,2026-08-21,
learning.word.bl_ksprutte,013bb19b785eed0f8ba5903b161c2ac470c5e6e7e515f58c4e4f1945a21cdbd8,approved,,2026-08-21,
learning.word.blad,92d6aa83795fbc838c82302dfa3c73fe3138d67a154956bd463ab5a1a729fbb2,approved,,2026-08-21,
learning.word.blat_hav,0b1ba087fc35b4aa9c333d9fb4979fc85f01a926bcf0c0e169acd2d63030b7ff,approved,,2026-08-21,
learning.word.ble,2c973a2521a8346d3615be9d868c6a65ec88dc151ceaec793e9a87dbae613f71,approved,,2026-08-21,
learning.word.blomst,f980539a485598ad272baff5f6cd37ead8448d5821e5d6a703c0366eba1883e3,approved,,2026-08-21,
learning.word.bog,c97d6029ece14fb751c268cdcca146414cd8d086de4d59ef9613df969c4e8134,approved,,2026-08-21,
learning.word.bold,7207d1b66a8f9f27eb7fbf8b61e25c78997bd68b83a3b36f934399f44548688a,approved,,2026-08-21,
learning.word.bord,11356c00377e49bfd258eb3bc24e526cf4804536f6f0328d226e377a36a5191a,approved,,2026-08-21,
learning.word.br_d,eed9be66f48677ead844f2d65c66184ee88dde338d60a053f91871bb21c19371,approved,,2026-08-21,
learning.word.brandbilen,ee211ba7420d14588eef5b8b9cff2e037426022dae563aba9f05fa439c32afc0,approved,,2026-08-21,
learning.word.bro,338d115deb84884b265fbab9016c3d148bab00f0a964de01c0ea902c3157b125,approved,,2026-08-21,
learning.word.bror,32fad7bc72cbb074233e327bd70061370f40a87627542ee20e8a00a7b07a1c60,approved,,2026-08-21,
learning.word.chokolade,d8518b596ce209451da135beb9615d6323336696fa006f39158511e8c7e98531,approved,,2026-08-21,
learning.word.cykel,bf00f598bef396cc383118cf4c167fffbffb70a6c87dfdba8ce8b2b6ef69598e,approved,,2026-08-21,
learning.word.d_r,270ef9f941f93cee6b6c12d7a36ed44694769b84c2b0b36ab580353aa097d1fb,approved,,2026-08-21,
learning.word.dinosaurer,77e4a2c7854ec1049d9442a2b4b393d748cd0a4b2c515faf7446e6f4915b6def,approved,,2026-08-21,
learning.word.dreng,2769120750561b47641d723fcb9418608e3fb3986d87977f2c078a89d3480d2b,approved,,2026-08-21,
