key,spec_hash,status,reviewer,date,notes
learning.char.a,aef7597e74eced6f7e5162601d9bca5ebdb5cbb2c2629b5ab667a24f31740e2b,approved,,2026-08-19,
learning.char.b,de48f9e89d9bc374ee471e053f59353cf20a45d4855c6907a7431c200053f7a1,approved,,2026-08-19,
learning.char.c,0a0da4346d84769944889eb67120e15609a579a81d4c3fd70a7ffdcab37e6c6b,approved,,2026-08-19,
learning.char.d,4f60ab6b691d34f51def97b1b944d41b82587688b318b9b3ea94b66a96fa9ec1,approved,,2026-08-19,
learning.char.e,fbf6f7e215725842fbc31a0bb4855df6d240138abf0ea4294c8f125485a3da8a,approved,,2026-08-19,
learning.char.f,e4aed9e010f90e94d4013529933595645f1d94332f924f4b16e5d59b9c3e67a7,approved,,2026-08-19,
learning.char.g,78a03442a3ae2b65d4419cf19df38c429253aa3e7c269b821ef97defd145475c,approved,,2026-08-19,
learning.char.h,7b1a3a967f27cb51cb5ee581126069f49a12f03473c4d9a7582266e191aea0b8,approved,,2026-08-19,
learning.char.i,c795e4033e66a101bdc68fd24e3e53a36ba4863feef49898ba31fa64f25586cc,approved,,2026-08-19,
learning.char.j,667026b50caec0168fc0b620cd52889cd6b3aebce06faa7f718c4c95fca3189f,approved,,2026-08-19,
learning.char.k,ff29e7d596567d5000d2961a3b3556ac233bc2c851e0a776e7423ad195a1d973,approved,,2026-08-19,
learning.char.l,76f6206d6b49cae12e1f8eccbe49554aa3fcb329f7b085d70eef53f6f7beab91,approved,,2026-08-19,
learning.char.m,6449944510c9ca3c4434f3c462fe97b00b507dc9a24a62e0b4d9663836ec23e5,approved,,2026-08-19,
learning.char.n,336162cb795a9a81c361fbb0973de501d45db9abf5819d40e1f27573aae7a87c,approved,,2026-08-19,
learning.char.o,474e28e0b56ae96200ea8ed33113de7f25eee566e309b57bd53a6a3198fba6e5,approved,,2026-08-19,
learning.char.p,6752aebc1ee588df0a7efdb4e8e8ea820e08996544fe389683e4afd8b727202f,approved,,2026-08-19,
learning.char.q,c8e88d4c8c4794ce83ee770c9e8964bda94a6e17c6daefc415e6588c7d728ae7,approved,,2026-08-19,
learning.char.r,5ac07c85bd335b46d21ef33557b775658c21b73302821c7869a1f2cb260b130f,approved,,2026-08-19,
learning.char.s,e9899c4dc09b3c940a6c2d13640c9201d9cbda5c8df97b34d23704b0ce2023c2,approved,,2026-08-19,
learning.char.t,ab67206b3bc9a4d94c79f8928a7766208f9161cac5a29e915263794f3eb72e4d,approved,,2026-08-19,
learning.char.u,831e184059b947a746df4ffe0147344121528026f35ba4cf1db0abc63e0bfb32,approved,,2026-08-19,
