key,spec_hash,status,reviewer,date,notes
learning.char.c00,fd144f65cc55af893ef6ff2b460aea009388d2b684ef3a08f96d361e96ac49a2,approved,,2026-08-19,
learning.char.c01,7e66531bb218db5dbc914ceedf6900f91978b3d47e08f775612deff6015230e6,approved,,2026-08-19,
learning.char.c02,e12ccb21e31ee0c73554e803b0df636b3c7ba60cd43063ff98591c70b369c2eb,approved,,2026-08-19,
learning.char.c03,9bf2738b82c7cfc7ba324c6555168709c171d7ef0901b184a00a92970bad3e1d,rejected,,2026-08-19,"should be more like ""He""?"
learning.char.c03,f24094372299d67d0ef9fd481415d6dc19fdb950357643e686e7821d5b0127d4,approved,,2026-08-19,
learning.char.c04,af6264de2138847665aa2411653efd5464c5e37394b6acfc121bf21b3b5c43b0,approved,,2026-08-19,
learning.char.c05,0b0c1d3c520c11be3e43b3cddc97f855f2c48e78956bb30f8abbc93c51eb1e62,approved,,2026-08-19,
learning.char.c06,9206f2353463a0880640675da370f4a71af755b87bc5446c609989038604c014,approved,,2026-08-19,
learning.char.c07,8035b75be4470cbc72da12b777703c00e10526416f8c04f929b6e329f0a2384f,approved,,2026-08-19,
learning.char.c08,32aff69f522c5579a0ced7f5e1639e193647249c0daec1e76bbec265afd5155e,approved,,2026-08-19,
learning.char.c09,3ba5a39bbf9df5a22e1e53ecb6e415b3460fd0cd4219def648de206bc7ce8481,approved,,2026-08-19,
learning.char.c10,101c79fbff9a5b6c593809a961988d451bd0a4515015c2057ac88aa9c50977d1,approved,,2026-08-19,
learning.char.c11,77a7da16f7d0df9adcac092badf8f7f5811cf8e81bb37112f94ebfc61cdf39e2,approved,,2026-08-19,
learning.char.c12,6d4f249fe733b8970168e21a4ba16acc13d15fca450770ad5e7753fa2f099167,approved,,2026-08-19,
learning.char.c13,6b1ecb121f30c3e72a6e07d1f752b9d2051a86364adf1690aa7866a7d8df830f,approved,,2026-08-19,
learning.char.c14,9aba6bc38ad1898256ddee5555a8989e60f8bb07b663300831ff8774b2e55237,approved,,2026-08-19,
learning.char.c15,00509c34764f800c242b1c5fe736cc1a2710a729be95d7ebd1e0e91b7314a0b6,approved,,2026-08-19,
learning.char.c16,8046291a7a7b8c661b97b6839a6e7f730fad34a7d8103f55d32bb302da0f4207,approved,,2026-08-19,
learning.char.c17,13149417c2065647afef0bd144f3829a9fbdaa3d0ae292a7c3b914c3fa5217d1,approved,,2026-08-19,
learning.char.c18,0b33c766c9dc02a66e24f776e48948c97bc7d02f2d16a558710913b2acd4a7f4,approved,,2026-08-19,
learning.char.c19,11039ba03176b7690c40cba9f0f655c7c8d9369d2add53274f5180bd48f71eb2,approved,,2026-08-19,
learning.char.c20,4e69dd87964fd4ff25f380f0fbd9eab4267df2b801699e37ab82fed826247ad6,approved,,2026-08-19,
learning.char.c21,70ad0fd54b3f310a41b1130f0b9bd74a0efc58b3022590cdc02f890ed9cbed1e,approved,,2026-08-19,
learning.char.c22,05d8d50a5e6bf39a2c1c4d98380a0c44cb60bd6b080f8b0c902b8338da3639f9,approved,,2026-08-19,
learning.char.c23,7fa870c2d08cfb1479d6bc00c35cf493163319a186a6df7bbcc7ae797b4b8657,approved,,2026-08-19,
learning.char.c24,c522ec6bb5cd6868c8a6781d71344ecda2534bb6aff7b487ab5edd327db3181e,approved,,2026-08-19,
learning.char.c25,cf08f4a913d541b57f3552f07932b9a7a9cb752092adba18b7682602d24837cf,approved,,2026-08-19,
learning.char.c26,a29a1ab071d78b52987cabb9c506979a0a0388c3072613fa3295dad7e8670b64,approved,,2026-08-19,
learning.char.c27,b4a24bf0fc628ee4aa9d9db545d75902003dce733075b4f366c04a876c48a451,approved,,2026-08-19,
learning.char.c28,dde9dd8b142317f15343706bd36aec897f09ea912ce37ffc1c203ffe9ab2b3c2,approved,,2026-08-19,
learning.char.c29,a5a1a4def34e21a1c8674009e16736a9fa5f1e5b68b444f4846ad4d4b00e8e38,approved,,2026-08-19,
learning.char.c30,f7c4b222d1676bdbca9c677043f09f9d4d1b9f7d2ab27a83f4586016596b4a26,approved,,2026-08-19,
learning.char.c31,b0f8777c9031adec8fda8b86e66245facd058808f49b84caf1a257a5bbd7e4a3,approved,,2026-08-19,
learning.char.c32,8365356fe0eb85578f6f49576748fe9d487349363a6ed6490142c370935d5c5a,approved,,2026-08-19,
learning.number.001,0dec8226ea242077421f0a94c6ca055c677cb9f9527b491ec97f0934ee8d18ff,approved,,2026-08-19,
learning.number.002,2ecff74873ea64c41b83f8d4d1bc8f34bc8c61bc2e0c7d55a0d52abf8af8b649,approved,,2026-08-19,
learning.number.003,32a46e6ccaa9fd3ce6d11bf8fa442e459afdd12ec4d4ad51e3fd2c7c58a3a61f,approved,,2026-08-19,
learning.number.004,57aea32b8a678dc6f37435ed07158738177501a815fe1f63a291b9ce8f751e3d,approved,,2026-08-19,
learning.number.005,be1daed36f4297820cef8feec62769c56649f586977d3f87a0f721832363d383,approved,,2026-08-19,
learning.number.006,2250c557dd5388e08a99ae15d67321b46e2841cc35e810b7e09b99b38dadb349,approved,,2026-08-19,
learning.number.007,550d75b13715daddb3a52b6796fb6e8906d133e57a22bd8da6d656434ab12405,approved,,2026-08-19,
learning.number.008,e463500f1ce5aacca171efb46260a6386ff83ff78f8c2adc5dc3524ecbd3b45c,approved,,2026-08-19,
learning.number.009,ddf5e99feb54c8c35d0d0bbfebe8ce6b0cdcc2b0ad6eb20e66f42fd914e4ff29,approved,,2026-08-19,
learning.number.010,02f88f364d9b3cdcc5de1841a24058bc169d3f731d461dfd3b861a01e88d0f6a,approved,,2026-08-19,
learning.number.011,dc6b7cddc2f9ae9c74d4442c0d9192f58be0974ce3f2dab0d10956241479ef60,approved,,2026-08-19,
learning.number.012,f1d3591d904c038912428c269876078c2ca033ee3d74e4d1f7e83c545cc73cab,approved,,2026-08-19,
learning.number.013,96884779dce5f57c153324bcf526a080947ea523e264b09f97258b0a52b4d2af,approved,,2026-08-19,
learning.number.014,41eb0449e3ddab0fdc0c6b3e48eef86859a10ac8c143084e69a6f4ed274c40ee,approved,,2026-08-19,
learning.number.015,8dd30385fbf658be326707154532f25565a66c2a745a1519e437b52ee9bdd5a6,approved,,2026-08-19,
learning.number.016,0b706896b6880919e0f9e86ae1c33d259f3338a23434c4da799508338dbade4a,approved,,2026-08-19,
learning.number.017,63b12d1ceaba3fb687c76b1f804c25aacdce3994f635f78450364725d79967d0,approved,,2026-08-19,
learning.number.018,60690af4a635f04c279ac4ed75fc814e10a91cc5056b0fd1d555b4b95a2f518c,approved,,2026-08-19,
learning.number.019,c16ff33b9f915c8f3ab6b1c3ff752aa637f39cef1be663dcf6ff540dba096e51,approved,,2026-08-19,
learning.number.020,5b4590fe04fe62669945fd0ad39fa9cdfbdc5dbeea29967191c5074ff3fede62,approved,,2026-08-19,
learning.number.021,02460c57cd03a32435d83fc95ebb621c9213c71c62b75b25a84ae65336864b82,approved,,2026-08-19,
learning.number.022,e9371c8cca4b59529b16e298400d3f0312175442d6173167d4540207346927f1,approved,,2026-08-19,
learning.number.023,1584bc565fd44e49c9e3d1ac3b1f0b10d86b953b4c9981ba93d7659c001fdb3b,approved,,2026-08-19,
learning.number.024,044fa39e806bd3cfaf704aa5bf3b5869729493a2dc0060e660d8d3016c45c8aa,approved,,2026-08-19,
learning.number.025,f1180dec4d9e2183c9a20d88fd462a06ba17bf602a9b5b1f741b15a0df72536a,approved,,2026-08-19,
learning.number.026,dd3d722a30cca71a8c7f4c1ab6c59ebe6ed53433cac424bac834f9f87cba7df5,approved,,2026-08-19,
learning.number.027,930e90214bd498e4a74a17af3ea812349968fa82d9ea241124aa2c8a5e1e8c05,approved,,2026-08-19,
learning.number.028,8cd24e3138bfa672e906caab72f7ff060bb3bcb9d1400a1c77c92a6a65503e8a,approved,,2026-08-19,
learning.number.029,7fab6e40a0055d04f5b6635939bf0be4caaafca7ccd835ee7009bb6265c958ff,approved,,2026-08-19,
learning.number.030,d95f76e0eba28d97c0a8a281c11452f58d8426284e751c3aeb1832b8a8f0b97a,approved,,2026-08-19,
learning.number.031,9af636793f1afe1b68fc7ed00ab37f79b1632a1a84a93ab57c8934e135ab7b16,approved,,2026-08-19,
learning.number.032,7b6bb70a32b37c93a81bbcbaa4ea3e3c30fecf2719f0c29ba6cd6b9f657dcd63,approved,,2026-08-19,
learning.number.033,caa8c1acf4adaa6fff43ace4c07dce0da651ae07ae2f9c8da53e2cf3dc8d50ef,approved,,2026-08-19,
learning.number.034,de20dfc95a2efc23e22ebfbc69174ff40179775b87e5a9cd62077999cf488eb8,approved,,2026-08-19,
learning.number.035,ae1eba942674453b4508342786fdbe6c1c3066de84cd4ab41c0dfde37c587b8e,approved,,2026-08-19,
learning.number.036,6443b0e0b2e54b54fd30eb21728f90d4aec780cc178bda4a8f1ff5dd593fac6a,approved,,2026-08-19,
learning.number.037,9c8560b6cca588d6fcfd79c5d2b754770932c7df0c4a290108bcc1512f5f6201,approved,,2026-08-19,
learning.number.038,a9821caaf4bdf9c73269ba7168e00ba10797f01979ad5c1071229484a5f98382,approved,,2026-08-19,
learning.number.039,542f994d43ad6cac6a911e27da91ba8a3c4e9d4c9f9bec71e6f8eb1caa1b44e5,approved,,2026-08-19,
learning.number.040,2a175d5d7543b9f3c49d1ce2a19c5555e41d6908a4cd30dd4551c18752cfa653,approved,,2026-08-19,
learning.number.041,05c45d95d7dbf54ef65dcd711edcafcdca283b45283b6b63aa1a1d1c59009545,approved,,2026-08-19,
learning.number.042,f3fb12f57f40d696594dfbd9d11a15c98535a7eeb37ec3e71f426b625cfbd4bb,approved,,2026-08-19,
learning.number.043,078fe1caa358a6125dabc5560de11bf4914474b57254caa505f10231a4831d23,approved,,2026-08-19,
learning.number.044,eefbcd9d4a66de361e983797cf68e0ddf46c3fec55db1057987624c27898beac,approved,,2026-08-19,
learning.number.045,f4f90ccd01f51a721f6796ab97f962968e43c36562cc4fde03e85a5e36192dc6,approved,,2026-08-19,
learning.number.046,5850f26d3d33f7e9efcd5bc13382999cd0c625e4bc3bcfcc90e661fa75bb0224,approved,,2026-08-19,
learning.number.047,8fa7942955df3ce0d015c129844891437675331edb795c58175db4d5ead4db75,approved,,2026-08-19,
learning.number.048,39dc95e04c0ad00cea43094928197621e74741a78de06239f8dcb83e255d4ed2,approved,,2026-08-19,
learning.number.049,e996d295507f5945caf7fd75bfed138be0852cb76906a9b5125b38c22f5e16ac,approved,,2026-08-19,
learning.number.050,2f9b74825a20f5e8c0aa65bc8a0aeb90b1794c277d2eaddfde9d0df6b7df8798,approved,,2026-08-19,
learning.word._0278,0bcfdf247eb395bedcb6b1a1672c82091f41b61f781690f3b623e974f0538a79,approved,,2026-08-19,
learning.word._033d,b2590312c1b3c11fcd59e61f39daff1ba5b570686b50d04954bb052ec0ff4754,approved,,2026-08-19,
learning.word._059f,9b9cc20a2ec3e6e9852eac79d6ddc826dba80aeb39c528f0e531911fafedf862,approved,,2026-08-19,
learning.word._05d0,2b5e597c907c5fbf7eda894da568c50cf6af363c3e29ac54c777b9d9277c1701,approved,,2026-08-19,
learning.word._061b,b8b0b105bd37f5784cf39959840428fe0cc019dd09566e38b11c926efa1cc6c3,approved,,2026-08-19,
learning.word._067e,70ec1079648905fc57932bd320257ab101826b4ba1c3a71b4da6593e92341511,approved,,2026-08-19,
learning.word._0699,95eec2d70e095c0837e00fb58fd925141e95a1143aca093190a69fa4149fca70,approved,,2026-08-19,
learning.word._08f4,7a541e172ad105ed4c8ce975d820fee3b27075298b9b4d064c4dcfb460d87ff5,approved,,2026-08-19,
learning.word._09b4,e33faaa53e2b1efc645f44ae06ea8c4413c93ef447a2666014f71f744141604f,approved,,2026-08-19,
learning.word._0d3f,3124abdfca1c7111e9df0725f03b46764be087c5ff4637de0082d2e6ec0fe374,approved,,2026-08-19,
learning.word._0dad,65eb9592004345898fa8ce58db959781f6c76c43b33e79179f1c5a80a951ba29,approved,,2026-08-19,
learning.word._0ec6,92f6816b4787fc78c30974486782871f2715dceab5ca5050859a9aeb873305ce,approved,,2026-08-19,
