key,spec_hash,status,reviewer,date,notes
learning.char.a,c91da9e43c758fb050333ad3057bd838cb5bbbd5cbd39ce92c6c5db1b436aabd,approved,,2026-08-19,
learning.char.b,7e08ce9e730e2c9e2795fde15019d6eb046fb4f39159d7f368c920aaf838a4da,approved,,2026-08-19,
learning.char.c,05db062f914e601d7adf32a929cf5a26fcb121ffc5ff8e42398897c06d48f520,approved,,2026-08-19,
learning.char.c01,3b666871dbb850ae54c59b123ffba1918c72dc9397d7f62da05e463d3a4a8bef,approved,,2026-08-19,
learning.char.c02,ffc06e55a249116709f3559998cf2eb2c484ccf0acbe533c7412dd1cde256b17,rejected,,2026-08-19,
learning.char.c02,9ede240e9fd7d6133870cf8a2dd2b77433db7dbe224941aed70b03cdcb279955,approved,,2026-08-19,
learning.char.c02,c5601607335c41c629e1bcc52f1dae4be1a3ed260c9a73c343ec49f660817bcc,approved,,2026-08-19,
learning.char.c11,8ac4e09608b01fc838aa2fa7c2ed5be7121b245a851fef197e985636c522a23d,rejected,,2026-08-19,
learning.char.c11,c30cfdc5aea3e766ff89aa777f7cc1106cbf8c496eec9eb39d4361c10eb42964,approved,,2026-08-19,
learning.char.c11,0f7181539c76ed2f46eded59c9620032b59c87b1673d3231d62bad3973a5ef9c,approved,,2026-08-19,
learning.char.c22,59aac5ff95590f82d225c7615985f7504a1405c3b8990b8acde59a5bcfcecb8f,approved,,2026-08-19,
learning.char.c24,f1c056cc9724f5d7edf04f55cfec0ac9263d5fa3777cc6c6f58b0704fe9fbe2e,approved,,2026-08-19,
learning.char.d,7158a28a2d8430ef4b526a45f976b29ecd5d83d34bf26e3b04d3af037cff2528,approved,,2026-08-19,
learning.char.e,0ff1a102ea5fd662e4220281b8ce0aa48f176474b501a811fb8282d7e28b6442,approved,,2026-08-19,
learning.char.f,7c135cb1a92241b89852714f2f5891476f60d786f0a4753a2fa4ff13d769cdb9,approved,,2026-08-19,
learning.char.g,7d5fe11f725a6ffbff781f76a6d52441cd302bad0db6fd2400a19ee0e3e49e1f,approved,,2026-08-19,
learning.char.h,c8b13d9f4857a42fb41a14e6a412f72cef464a61d5d56e0be3cda4f3da46dd10,approved,,2026-08-19,
learning.char.i,ba62af80f5917434e676163a338b09cb96e745bca93e589c57a6af9d5206c82b,approved,,2026-08-19,
learning.char.j,4a20e63ffa648478c30fe0973de158ea31c6115d541a6552e275707c2a3d8585,approved,,2026-08-19,
learning.char.k,655968b5bc5492c9c190147d4d6f9e487afd6a02c2a78a5fd9a960348a97fb1a,approved,,2026-08-19,
learning.char.l,e2976c18f54bd9b334f66a1a6917d8c37c41080ea7e5379e5a00b3b541ff0f82,rejected,,2026-08-19,additional sound at the end
learning.char.l,f30fff18ae0fa3e697d12b416689921c1e93bfb16c9caf161d6ea94fecd699ad,rejected,,2026-08-19,additional sound at the end
learning.char.l,f4c4a3a47b528ad7f99e91a896b9807b634f018ef56755b99556f4493a11ae5c,approved,,2026-08-19,
learning.char.m,14c6ec8a5c073d878d047be6f58de8c2347b243273875be0926403273baaf41c,rejected,,2026-08-19,additional sound at the end
learning.char.m,f020c1182c8c3a1215e47b9df866d00766d003278e217cb3356dbca154bd89be,rejected,,2026-08-19,additional sound at the end
learning.char.m,c3766d010a6621957fa44853e422d2a9c106e84703b23351e2d503d5727da9bd,approved,,2026-08-19,
learning.char.n,e5a52722bc03c0e3b8f6f3bb62ca7ecb5d9fe62e960e6a39b630dcbff5062d95,approved,,2026-08-19,
learning.char.o,a90c9f40901d58e46cd736c3ab1bf2fb51cf0ef6850a3486417b512e968259f6,rejected,,2026-08-19,wroing cutting
learning.char.o,0a278832ffc3272417b20ff58c9d1b756beb200f20f8e7bfba02749cc9895840,rejected,,2026-08-19,wroing cutting
learning.char.o,5fad46f8d6b1229905824d8e12630921b74f92dcedeca2685269e47e82f2275f,approved,,2026-08-19,
learning.char.p,9dc66cb483d0ac5dfc8d8e216bb534c3bff6e4abf2cf9eeaef9bde2101eaa772,rejected,,2026-08-19,wrong cutting
learning.char.p,9f71c3490985a87cc7f86615871fb7eb8aeaaee3e826ae7898715cb95c860e51,rejected,,2026-08-19,wrong cutting
learning.char.p,3f2aef66ffa5b8b6998f9f5706b3eae073c1c1896914df0422afd6f811168c1b,approved,,2026-08-19,
learning.char.q,7c3e627f3c1bb1f412efb3e099d9c341c9f42ba92741bd143ddc0fdd361f297f,approved,,2026-08-19,
learning.char.r,6af68602c7d9595f2ada3e950bac96d8d9a3e5f3fa7ad702b444eaefcf61f8ec,approved,,2026-08-19,
learning.char.s,8c16eda8da2a1a6ba63534e00a9438e668bd36dfa1c77234105de99bd191e1f9,approved,,2026-08-19,
learning.char.t,214f7d7d215d8231a5207512d9e7eb84bd3f634a0ab1d63477b5f0a311a4f19e,rejected,,2026-08-19,says T-U-V
learning.char.t,f15a438c5f4b98472ce7de94eb5c930b0227c6b98101591a32e06009d1be744b,rejected,,2026-08-19,says T-U-V
learning.char.t,0ecf4f140b8151bbc50ce25da760142728ae6ced8dcb4c3a81aacf08b5430e17,approved,,2026-08-19,
learning.char.u,93974226d761145edc0c19f950fe203b3830cf780c408f2cfc7b1467220d78d6,rejected,,2026-08-19,says duble w
learning.char.u,5eff85025584a309678c1b731a3edd9d0b784eab588892475259903a73e1420e,rejected,,2026-08-19,says duble w
learning.char.u,cb8ede6301d75c54dc33679a10255facffb43ea087d49b6e79de72678a9716d6,approved,,2026-08-19,
learning.char.v,eae2d1751ac279283d612c54fb14aa23dc3e05dd3e81918e9f7f86f6eff85ae0,rejected,,2026-08-19,
learning.char.v,6c98e50778f639515312674bfebafebc71978e9c5462ad469225928079322669,approved,,2026-08-19,
learning.char.v,4473ac1948661403d2f03e45f362de88ea36561ab2a6a0aeb2044a5aa037462e,approved,,2026-08-19,
learning.char.w,1b3dac367faec539bd7839ae64bd66319c36755a9a0789ca7e2b757983f52d5c,rejected,,2026-08-19,
learning.char.w,16899b4ab957d4c5ccc489c76ff971607c626685c4f1701d5747b7e63f84b50e,approved,,2026-08-19,
learning.char.w,6973e1ff89d83ab4b98687a946b43d7ec90675d53284cdf3c3d4069e898d4547,approved,,2026-08-19,
learning.char.x,e44c93d5009243ed2441c3dd961d2f4551de996989c1c2fc874050e15ab95644,rejected,,2026-08-19,
learning.char.x,3b21076748c83aa5b64dd96a1183445d2b3e7646cab8c4086eb3bfc2cceed32b,rejected,,2026-08-19,
learning.char.x,a9a30396824b4c7cee0e592f3188c57dcc45c150149443991950f6a7c53dcfc5,rejected,,2026-08-19,
learning.char.x,a36b77f679de04f4b0a0ba8d1de43665831f03036cc2447aea32c30379f0f182,approved,,2026-08-19,
learning.char.y,d25681a4d6f37f13fd4cc22e12a3830558d1e05fe8b574165228f0636246eebc,rejected,,2026-08-19,
learning.char.y,419d38347e20346383e06f91f5828bf6615a977bf75ff81804d8ededf25d1234,rejected,,2026-08-19,
learning.char.y,7dea4e1171c25499f8bdb19b3240908a18aa0361dff872d71f562cf5b8b9405f,approved,,2026-08-19,
learning.char.z,e44f37547fa90dd1e2782015eb000e85a35a08f50da4e84e0b6bc9f4c0e1aede,rejected,,2026-08-19,
learning.char.z,fc462f13bb793f6d445dade5fb33abd5c0b2d312e5f94dcf6128241858bd3736,approved,,2026-08-19,
learning.char.z,bca21c176a5ed5411b70f572287d5f3fdbbe9ce056cd20be79bf8d87c1b6e885,approved,,2026-08-19,
learning.number.001,cd732266d9a29ad111baafda1d66bed522eb7ff85a5980d44bb47389ad0243d4,approved,,2026-08-19,
learning.number.002,200c71dff3129fdb819c8ff2686f646817285de930638efd66575a17bfc55e0e,approved,,2026-08-19,
